WordID	MnID	Wd	SoundFile	PoS	Stem	Accent	Category	Description	Variation	RelatedWords	ExampleSentence																	
1		あ	ikmvoc_1.wav	助詞				提題を表す、「は」。提題を表す「あ」はつく語の最後の音に従って形が変わる（１）aで終わる語のあとでは、aaになる　例：っふぁ（子供）＋あ＝っふぁー（子供は）（２）uで終わる語のあとではu+a＝uuになる。例：っぞぅ（魚）＋あ＝っぞぅー（魚は）（３）iで終わる語の後ではi+a=jaaになる。例：さき（酒）＋あ＝さきゃー（４） 二重母音、長母音で終わる語の後では　jaになる。例：まい（米）+あ＝まいや（米は）。（５）子音＋ɨで終わる語の後では、子音を「っ」を入れて促音にしてから「あ」をつける。例　どぅす（dusɨ、友達）＋あ＝どぅっさ（どもだちは）。（６）「ん」で終わる語のあとでは、「んな」になる。例　みどぅん（miduN、女性）＋あ＝みどぅんな（女性は）。（７）nで終わる名詞は、nnにして「あ」をつける。例：いん（海、犬）+あ＝いんな（海は）	や		あちゃー　かでぃふっちゃ（明日は台風だそうだ）。	あいっぞぅー　あうさりむぬ（アイゴは生臭い）。	うぬ　さきゃー　んめ　あぱりー　ぬまいん（その酒はもうアルコール分が抜けていて飲めない）。	きゅーや　やぐみ　あうひぐるむぬ（今日はとても肌寒い）。	あかいらうっちゃ　びゅーい　むぬまいどぅ　あい（アカイラウツは毒のあるものもある）。	かぬ　みどぅんな　あてぃ　あぱらぎかいばならん（あの女性は余りにも美しい）。												
2		あ	ikmvoc_2.wav	助詞				目的語を表す（「う」に対して、第二目的格ともよばれる）、「を」。提題を表す「あ」と同じ変化をする	や	う	さきゃー　ぬみー　みはなー　あかたん　なるー（酒を飲んで顔が赤くなった）。	じかんな　あーひー　っさらんかい　いかでぃ（時間を合わせて平良に行こう）。																
3		あー	ikmvoc_3.wav	名詞		B		粟			あーだーら（粟俵）。	あーぬ　っさ　とぅい（粟の下草取り）。	んきゃーんな　あーひーどぅ　じゃうなうゆ　うさみゅーたいちゃ（昔は粟で税金を納めていたそうだ）。															
4		あーき	ikmvoc_4.wav	感動詞				困ったなあ			あーき、でぃんぬどぅ　ばっしー　ってぃにゃーん（困ったなあ　お金を忘れて来ちゃった）。																	
5		あーぎ	ikmvoc_5.wav	名詞		A		上、高い方；上座；上級		あーび、わーぎ、わーび、わーら	ほぅんぬぎゃー　つくいぬ　あーぎん　うっき（本は机の上におけ）。	たむぬーぎゃー　かなまいぬ　あーぎん　ぬーひー　かみる（薪を頭の上にのせろ）。	っゔぁが　かなまいぬ　あーぎんな　かじゃんぬ　とびゅー（お前の頭の上に蚊が飛んでいる）。	まさいが　やーや　ばが　やーぬ　あーぎなぎんどぅ　あい（マサイの家はうちの家の北の方にある［上手の高い後ろの方が北に当たることが普通である］）。	かじゃー　きーぬ　あーぎんどぅ　ふつ（風は木の上に吹く［＝波風は最高責任者に吹く（当たる）］）。	そぅじゃっそぅー　あーぎんかい　いかまてぃ（先輩達は上座に行って下さい）。	あーぎぬ　がっこー（高校以上の上級学校 ［昔は旧制中学、旧制高校、大学のことを指した］）。	んきゃーんな　きばんかいてぃがー　うむくとぅ　あらばんまい　あーぎぬ　がっこうんかいや　いかはいっだん（むかしは貧乏だったら能力があっても上級学校には進学させられなかった）。										
6		あーきどぅーき	ikmvoc_6.wav	成句				開けっ放し			かまぬ　やーや　いつまい　あーきどぅーき（向こうの家はいつも開けっ放しだ）。	あーきどぅーき　やー（戸の開けっ放しの家）。																
7		あーぐ	ikmvoc_7.wav	名詞		C		歌			あーぐー　あい（歌を歌う）。	かりゃー　さぐー　いりー　あーぐー　あっじゅー（彼は彼独特の歌い方で歌をうたっている）。																
8		あーぐしゃ	ikmvoc_8.wav	名詞				歌の上手い人、御嶽で祈願専任役の人																				
9		あーさ	ikmvoc_9.wav	名詞		C	〘食〙	〘食〙あおさ［岩に付着する食用の海藻］			あーさう　とぅい（あおさを取る）。	ほぅらばまんきー　あーさ　かつが（大浦湾にあおさをむしり取りに（行く））。	かーき　あーさう　むっす（乾いたあおさをむしり取る）。															
10	1	あーす	ikmvoc_10.wav	動詞	s/h語幹	A		（時間、性格などを）合わせる、重ねる；重ね着する			じかんな　あーひー　っさらんかい　いかでぃ（時間を合わせて平良に行こう）。	にんぎんぬ　とぅずぶとぅー　うむくとぅ　あい　ひとぅぬどぅ　ほぅりむぬんかい　あーすばどぅ　じゃうかい（人間の夫婦は頭の良い人が馬鹿者に合わせる方が良い）。	うぬきゃが　ふたーいや　あーはいん（その二人は合わせられない）。	やりずんぬ　あーひー　かうー（古着を重ねて掛布団にする［＜重ねて被る］）。														
